id,year
3416,2001.986083984375
18991,2003.7784423828125
11105,1991.031982421875
18902,2002.091064453125
18958,2003.9996337890625
8132,2004.87109375
4442,2000.747802734375
5562,2003.7176513671875
16836,2004.6737060546875
3555,2001.866455078125
1836,1985.7459716796875
5999,2003.7484130859375
6198,1987.40869140625
17426,2004.2591552734375
13323,2002.3577880859375
7473,2004.9483642578125
9635,2003.61474609375
6781,1991.4931640625
2460,2003.454833984375
3439,1990.459228515625
9435,2002.9957275390625
11001,1996.1485595703125
11872,2002.7138671875
18084,2004.117431640625
14233,2000.188720703125
7146,2005.3853759765625
4775,2000.7353515625
5369,1987.3935546875
6176,1998.9366455078125
7436,1999.7293701171875
19646,1988.6337890625
9053,1994.2847900390625
4184,2003.908935546875
12471,1999.4610595703125
14698,2003.7601318359375
7315,2004.75537109375
14120,1997.1129150390625
4208,2000.231201171875
4081,2003.9007568359375
11136,2002.03564453125
2987,1994.916259765625
19737,1985.0992431640625
5798,1999.1912841796875
8564,2003.953125
14459,1987.8525390625
12543,1998.9302978515625
17304,1993.586181640625
11507,1986.4986572265625
5050,2002.4490966796875
3306,1997.6082763671875
15196,2004.438232421875
13905,1996.900146484375
10326,1988.68359375
16654,1991.552978515625
16105,1993.894775390625
12049,2000.7955322265625
2786,1999.5909423828125
7759,1999.1134033203125
14592,2004.7208251953125
13693,2005.0904541015625
11532,2004.49267578125
8187,1990.8585205078125
1715,2000.918212890625
1723,1994.8734130859375
11800,1995.8492431640625
5102,2002.7935791015625
11349,1999.5865478515625
18514,2003.7742919921875
2101,2000.2435302734375
9061,2003.6898193359375
16302,2004.83837890625
12194,2003.6826171875
4298,2002.6943359375
13035,2001.5277099609375
12946,2001.4561767578125
5370,1993.2415771484375
7226,1998.1610107421875
4449,2004.0748291015625
15965,1999.3187255859375
812,1990.2791748046875
3071,2002.6826171875
18910,2003.645263671875
16360,1991.5540771484375
1776,1993.6458740234375
6134,2002.212646484375
12694,2004.9503173828125
7327,2005.45458984375
18694,1997.9886474609375
18051,1998.58056640625
3718,1998.817626953125
18600,1994.584716796875
7976,2002.989501953125
10430,1998.0233154296875
4385,2004.1685791015625
11698,2003.274169921875
19617,2004.472412109375
19927,2002.3203125
3642,1997.6920166015625
19053,2003.40966796875
1578,1991.5091552734375
17202,2000.7091064453125
15508,2002.944580078125
1504,1988.9918212890625
9520,1999.8482666015625
16542,2002.3634033203125
4704,1979.9014892578125
2104,2003.784912109375
6414,2002.4490966796875
3415,1997.662353515625
2453,2005.0899658203125
3538,2003.6070556640625
2726,2000.8349609375
8996,2001.650390625
11821,1994.30419921875
8466,2000.380615234375
19722,2001.3173828125
6864,2004.3126220703125
12664,2003.8970947265625
19154,1994.5496826171875
6015,2003.7789306640625
2394,1991.114990234375
12328,2001.535400390625
10996,2005.2236328125
15952,1996.39208984375
12252,1996.93994140625
7309,2001.9775390625
7641,2000.7449951171875
17101,1988.430908203125
1405,1999.8182373046875
6224,2004.74462890625
9300,1992.9683837890625
2538,1999.7430419921875
6679,2003.2882080078125
2107,1992.0072021484375
12056,1998.1268310546875
15814,2000.826416015625
15354,2003.451171875
4997,2004.3756103515625
14460,2002.3878173828125
6818,1995.3466796875
11501,1999.1641845703125
19972,1986.6627197265625
15469,2003.4539794921875
11863,1984.51220703125
14973,2002.07958984375
18089,2000.83984375
16367,2003.6082763671875
18461,1997.2879638671875
12188,1991.838623046875
8234,2003.6767578125
10730,1999.4468994140625
4830,2004.85302734375
10361,1998.3455810546875
5039,2002.975341796875
6836,1987.8438720703125
15753,1991.5440673828125
3699,2003.684326171875
14767,1987.2625732421875
12192,2000.688232421875
4100,1999.128662109375
1619,2002.4954833984375
10221,2002.55712890625
19257,2004.7427978515625
8630,1999.452392578125
14510,2002.8658447265625
14963,2000.158203125
16126,2001.8453369140625
17390,1989.7913818359375
18254,2004.185302734375
10532,2001.734619140625
17820,2005.0560302734375
14023,1998.875732421875
5833,2003.644775390625
19422,2003.6383056640625
1630,2003.4541015625
16179,2003.4510498046875
2283,2001.8572998046875
13096,1998.650634765625
5805,2004.2310791015625
14928,1999.801025390625
1246,2001.39111328125
8760,1998.709716796875
14543,1996.650634765625
14636,2003.2711181640625
2427,1999.261474609375
613,1998.2662353515625
11219,2002.1539306640625
6108,1998.88818359375
4089,2002.23828125
8359,1987.0809326171875
10945,2004.0982666015625
7068,2002.167236328125
16612,1994.2314453125
2370,2004.5784912109375
16780,2000.600830078125
7060,1982.4945068359375
6025,1990.216552734375
864,2003.0972900390625
17858,2003.9652099609375
9889,1994.114990234375
9173,1994.48486328125
17582,1997.85986328125
1108,1997.5107421875
18714,2002.154296875
15791,1989.9007568359375
1479,2003.236572265625
18361,2001.611328125
14787,1989.71142578125
9181,2000.75
8586,1990.365478515625
19658,2002.89990234375
4012,2003.9912109375
12323,2000.593994140625
4377,1992.7626953125
13347,2000.7752685546875
18908,2002.762451171875
14699,2003.7237548828125
11786,2004.794189453125
4116,2005.560546875
16608,1987.5849609375
0,2003.6104736328125
14367,1992.1895751953125
12282,2003.9056396484375
6005,1999.4564208984375
1933,1984.622802734375
14803,1996.424560546875
11720,2004.7882080078125
14932,1995.4432373046875
11767,1996.72705078125
14758,2002.3323974609375
1521,2004.751953125
11487,1994.22314453125
10181,2004.80517578125
1682,2003.3466796875
9271,1989.21728515625
8294,2004.17138671875
13138,1996.9112548828125
11458,2002.509033203125
9844,2004.6361083984375
11153,1987.60400390625
6663,1992.7784423828125
1419,2002.7235107421875
10589,1983.43017578125
9355,2000.4486083984375
5287,1982.365234375
6163,2003.7139892578125
9376,1996.518310546875
13276,1998.909912109375
3269,2003.13525390625
12618,2002.6390380859375
964,1999.2333984375
16139,1994.885986328125
10824,1990.9512939453125
18392,1997.67138671875
17141,1997.4097900390625
1858,1987.8717041015625
12021,2001.0679931640625
12948,1980.5264892578125
9613,2003.71728515625
17838,2000.3131103515625
14849,2001.84130859375
4061,1994.699951171875
14837,1984.40625
9646,1988.39990234375
19584,1989.1455078125
3823,2000.174560546875
5309,2000.6412353515625
5767,1989.560546875
12939,1998.9989013671875
14359,1999.5069580078125
16646,2000.8736572265625
9894,2004.7645263671875
249,2000.7919921875
3878,1996.8555908203125
15336,2001.9443359375
10238,2001.3116455078125
11638,2001.5098876953125
1823,1998.486572265625
19007,1991.6888427734375
7540,2001.1280517578125
15062,2001.173583984375
6437,2000.672607421875
10229,2002.7781982421875
19094,2003.9161376953125
5528,2004.1258544921875
18522,1992.12744140625
12385,2001.84912109375
11172,1999.422119140625
4507,1997.3197021484375
4671,2005.6689453125
10612,2002.8935546875
7622,2003.4725341796875
1482,2002.87890625
1102,1999.1221923828125
6579,2000.3975830078125
13838,1996.1409912109375
15559,2005.357177734375
14538,1992.280517578125
16882,1999.322021484375
13041,2001.05029296875
8120,2005.5321044921875
9521,1997.4981689453125
5402,2004.2310791015625
8557,1983.791748046875
17134,1994.61328125
17636,1999.6688232421875
4297,1990.256103515625
17664,2000.30224609375
9886,2005.0216064453125
7345,2002.1719970703125
5650,1983.1536865234375
7394,1998.5711669921875
9415,2004.3006591796875
16686,2005.1195068359375
7426,1989.999267578125
8703,1991.2049560546875
1790,1996.1795654296875
19025,1989.4466552734375
17442,2000.4937744140625
19978,1997.479736328125
10390,1990.095703125
1894,2003.36572265625
14100,2000.1065673828125
8409,1995.0682373046875
7605,1999.95849609375
6914,1987.260986328125
10628,1988.177490234375
